name,LAT,LONG,iconname,services,wikidata,blogentry
Pizarra,36.7643147,-4.7119965,rail-24-white,Cercanías C2,Q5846921,[[https://alangrant.writeas.com/|Read more at EveryStationMalaga]] 
Aljaima,36.7328998,-4.6647665,rail-24,Cercanías C2,Q5845653,not yet published
Cártama,36.733858,-4.6085688,rail-24,Cercanías C2,Q5846106,not yet published
Campanillas,36.7050855,-4.545545,rail-24,Cercanías C2,Q5845932,not yet published
Los Prados,36.6985145,-4.4783127,rail-24,Cercanías C2,Q5846635,not yet published
Victoria Kent,36.7009023,-4.4550529,rail-24,"Cercanías C1, Cercanías C2",Q8842201,not yet published
Guadalhorce,36.6925835,-4.4831135,rail-24,Cercanías C1,Q959331,not yet published
Aeropuerto,36.6777495,-4.4901616,rail-24,Cercanías C1,Q8779199,not yet published
La Colina,36.6421595,-4.4923719,rail-24,Cercanías C1,Q5846469,not yet published
Torremolinos,36.62272,-4.49929,rail-24,Cercanías C1,Q5847350,not yet published
El Pinillo,36.6098894,-4.5154405,rail-24,Cercanías C1,Q5846177,not yet published
Benalmadena - Arroyo de la Miel,36.5990753,-4.5365181,rail-24,Cercanías C1,Q5845802,not yet published
Torremuelle,36.5822976,-4.5670844,rail-24,Cercanías C1,Q5847352,not yet published
Carvajal,36.5703735,-4.5938788,rail-24,Cercanías C1,Q5845978,not yet published
Torreblanca,36.564969,-4.6065701,rail-24,Cercanías C1,Q5672229,not yet published
Los Boliches,36.5546249,-4.6145872,rail-24,Cercanías C1,Q8840986,not yet published
Fuengirola,36.5418102,-4.623976,rail-24,Cercanías C1,Q11681648,not yet published
Los Álamos,36.6447488,-4.4855,rail-24,Cercanías C1,Q5846641,not yet published
Montemar Alto,36.6136503,-4.5094951,rail-24,Cercanías C1,Q5846743,not yet published
