slug,name,lat,lon,iconname,services,wikidata,metro,url
ciudad-de-la-justicia,Ciudad de la Justicia,36.7180395,-4.4633269,rail-24-white,Metro L1,Q5846061,y,alangranteu.github.io/ciudad-de-la-justicia
la-unión,La Unión,36.7106902,-4.4401039,rail-24,Metro L1,Q5846540,y,alangranteu.github.io/la-unión
andalucía-tech,Andalucía Tech,36.7188267,-4.4944136,rail-24-white,Metro L1,Q5846068,y,alangranteu.github.io/andalucía-tech
portada-alta,Portada Alta,36.7193702,-4.4532671,rail-24,Metro L1,Q5846956,y,alangranteu.github.io/portada-alta
paraninfo,Paraninfo,36.7180137,-4.4887674,rail-24,Metro L1,Q5816114,y,alangranteu.github.io/paraninfo
guadalmedina,Guadalmedina,36.7159848,-4.4296994,rail-24,"Metro L1, L2",Q604972,y,alangranteu.github.io/guadalmedina
La-luz-la-paz,La Luz - La Paz,36.6954164,-4.4513131,rail-24-white,Metro L2,Q5846493,y,alangranteu.github.io/La-luz-la-paz
puerta-blanca,Puerta Blanca,36.6917962,-4.4559168,rail-24,Metro L2,Q5402461,y,alangranteu.github.io/puerta-blanca
palacio-de-los-deportes,Palacio de los Deportes,36.6845619,-4.4583141,rail-24,Metro L2,Q5846867,y,alangranteu.github.io/palacio-de-los-deportes
el-perchel,El Perchel,36.7127953,-4.4324264,rail-24,"Metro L1, L2",Q5846173,y,alangranteu.github.io/el-perchel
barbarela,Barbarela,36.7115832,-4.4460448,rail-24,Metro L1,Q5845773,y,alangranteu.github.io/barbarela
carranque,Carranque,36.7186193,-4.4490899,rail-24,Metro L1,Q5845970,y,alangranteu.github.io/carranque
princesa-huelin,Princesa - Huelin,36.7040678,-4.4403095,rail-24,Metro L2,Q5846507,y,alangranteu.github.io/princesa-huelin
el-torcal,El Torcal,36.6995262,-4.4460882,rail-24,Metro L2,Q5846191,y,alangranteu.github.io/el-torcal
el-cónsul,El Cónsul,36.7173254,-4.4840124,rail-24,Metro L1,Q5846161,y,alangranteu.github.io/el-cónsul
clínico,Clínico,36.7165546,-4.4785823,rail-24,Metro L1,Q5846064,y,alangranteu.github.io/clínico
universidad,Universidad,36.7170389,-4.4722,rail-24,Metro L1,Q5847381,y,alangranteu.github.io/universidad
atarazanas,Atarazanas,36.7175917,-4.4235752,rail-24,Metro L1,Q604972,y,alangranteu.github.io/atarazanas
la-isla,La Isla,36.7079434,-4.4353989,rail-24,Metro L2,Q5846489,y,alangranteu.github.io/la-isla
