name,LAT,LONG,iconname,services,wikidata,blogentry
Málaga Centro - Alameda,36.71965,-4.420019,rail-24,"Cercaníás C1, Cercanías C2, Proximidad",Q604972,[[https://alangrant.writeas.com/|Read more at EveryStationMalaga]] 
Málaga María Zambrano,36.7113412,-4.4328779,rail-24,"AVE, AVANT, AVLO, Iryo, MD, Cercaníás C1, Cercanías C2, Proximidad",Q801214,not yet published
Álora,36.819838,-4.699623,rail-24-white,"MD, Cercanías C2, Proximidad",Q8842737,[[https://alangrant.writeas.com/|Read more at EveryStationMalaga]] 
Las Mellizas,36.8732968,-4.7194626,rail-24,"MD, Proximidad",Q5846566,not yet published
El Chorro-Caminito del Rey,36.9073169,-4.7592403,rail-24,"MD, Proximidad",Q5846154,not yet published
Bobadilla,37.0375444,-4.7277249,rail-24,MD,Q5845842,not yet published
Antequera-Santa Ana,37.0702806,-4.7190304,rail-24-white,"AVE, AVANT, AVLO, Iryo, InterCity, MD",Q3325592,[[https://alangrant.writeas.com/|Read more at EveryStationMalaga]] 
Campillos,37.0321901,-4.8635104,rail-24,MD,Q5845936,not yet published
Almargen - Cañete la Real,37.0010286,-5.0201169,rail-24,MD,Q5845663,not yet published
Ronda,36.748424,-5.1619184,rail-24-white,"InterCity, MD",Q3394773,[[https://alangrant.writeas.com/|Read more at EveryStationMalaga]] 
Arriate,36.7910791,-5.1401779,rail-24,MD,Q5845729,not yet published
Benaojan-Montejaque,36.7137902,-5.246408,rail-24,MD,Q5845806,not yet published
Jimera de Líbar,36.6607132,-5.2814788,rail-24,MD,Q5846427,not yet published
Cortes de la Frontera,36.5973589,-5.3327945,rail-24,MD,Q5846078,not yet published
Gaucin,36.5403999,-5.3863848,rail-24,MD,Q5846286,not yet published
Antequera AV,37.0281836,-4.5609649,rail-24,AVANT,Q2918304 ,not yet published
