name,LAT,LONG,iconname,blogentry,services
Pizarra,36.765619,-4.7111214,rail-24-white,https://alangrant.writeas.com/,Cercanías C2
Aljaima,36.733092,-4.664725,rail-24,not yet published,Cercanías C2
Cártama,36.7334013,-4.6093394,rail-24-white,https://alangrant.writeas.com/,Cercanías C2
Campanillas,36.705011,-4.545516,rail-24,not yet published,Cercanías C2
Los Prados,36.6988637,-4.4778853,rail-24,not yet published,Cercanías C2
Victoria Kent,36.6962281,-4.4652369,rail-24,not yet published,"Cercanías C1, Cercanías C2"
Guadalhorce,36.6921154,-4.4831263,rail-24-white,https://alangrant.writeas.com/,Cercanías C1
Aeropuerto,36.6760678,-4.4879567,rail-24,not yet published,Cercanías C1
La Colina,36.6401889,-4.4952547,rail-24,not yet published,Cercanías C1
Torremolinos,36.6253108,-4.4966871,rail-24,not yet published,Cercanías C1
El Pinillo,36.6101783,-4.5146208,rail-24,not yet published,Cercanías C1
Benalmadena – Arroyo de la Miel,36.599091,-4.536341,rail-24,not yet published,Cercanías C1
Torremuelle,36.5798535,-4.573148,rail-24,not yet published,Cercanías C1
Carvajal,36.570308,-4.594023,rail-24,not yet published,Cercanías C1
Torreblanca,36.5636,-4.60966,rail-24,not yet published,Cercanías C1
Los Boliches,36.5515902,-4.6166673,rail-24,not yet published,Cercanías C1
Fuengirola,36.546263,-4.6203322,rail-24,not yet published,Cercanías C1
Los Álamos,36.6452816,-4.4848827,rail-24,not yet published,Cercanías C1
Montemar Alto,36.6138194,-4.5089797,rail-24,not yet published,Cercanías C1
