name,LAT,LONG,iconname,services,wikidata,blogentry
Ciudad de la Justicia,36.7180395,-4.4633269,rail-24-white,Metro L1,Q5846061,https://alangrant.writeas.com/
La Unión,36.7106902,-4.4401039,rail-24,Metro L1,Q5846540,not yet published
Andalucía Tech,36.7188267,-4.4944136,rail-24-white,Metro L1,Q5846068,https://alangrant.writeas.com/
Portada Alta,36.7193702,-4.4532671,rail-24,Metro L1,Q5846956,not yet published
Paraninfo,36.7180137,-4.4887674,rail-24,Metro L1,Q5816114,not yet published
Guadalmedina,36.7159848,-4.4296994,rail-24,"Metro L1, L2",Q604972,not yet published
La Luz - La Paz,36.6954164,-4.4513131,rail-24-white,Metro L2,Q5846493,https://alangrant.writeas.com/
Puerta Blanca,36.6917962,-4.4559168,rail-24,Metro L2,Q5402461,not yet published
Palacio de los Deportes,36.6845619,-4.4583141,rail-24,Metro L2,Q5846867,not yet published
El Perchel,36.7127953,-4.4324264,rail-24,"Metro L1, L2",Q5846173,not yet published
Barbarela,36.7115832,-4.4460448,rail-24,Metro L1,Q5845773,not yet published
Carranque,36.7186193,-4.4490899,rail-24,Metro L1,Q5845970,not yet published
Princesa - Huelin,36.7040678,-4.4403095,rail-24,Metro L2,Q5846507,not yet published
El Torcal,36.6995262,-4.4460882,rail-24,Metro L2,Q5846191,not yet published
El Cónsul,36.7173254,-4.4840124,rail-24,Metro L1,Q5846161,not yet published
Clínico,36.7165546,-4.4785823,rail-24,Metro L1,Q5846064,not yet published
Universidad,36.7170389,-4.4722,rail-24,Metro L1,Q5847381,not yet published
Atarazanas,36.7175917,-4.4235752,rail-24,Metro L1,Q604972,not yet published
La Isla,36.7079434,-4.4353989,rail-24,Metro L2,Q5846489,not yet published
